shapeid,x,y,transit
503,-71.07855942,42.38769579,yes
504,-71.11534882,42.38784375,yes
505,-71.09461734,42.38779454,yes
506,-71.09474434,42.38783378,yes
507,-71.08428031,42.38784427,yes
508,-71.11551189,42.3880302,yes
509,-71.08424107,42.38796697,yes
510,-71.119487,42.38823469,yes
511,-71.11941412,42.38842348,yes
512,-71.10352027,42.38844614,yes
513,-71.11893386,42.38851518,yes
514,-71.08607247,42.38846763,yes
515,-71.14424082,42.3887085,yes
516,-71.14430926,42.3887265,yes
517,-71.0860308,42.38853188,yes
518,-71.15736923,42.38880014,yes
519,-71.08606485,42.38866649,yes
520,-71.08580109,42.388678,yes
521,-71.16106569,42.38897138,yes
522,-71.15732677,42.38901263,yes
523,-71.1610613,42.38902727,yes
524,-71.08006918,42.3888324,yes
525,-71.10510002,42.38898156,yes
526,-71.14586843,42.38913724,yes
527,-71.1461006,42.38918515,yes
528,-71.09276142,42.39220736,yes
529,-71.11255289,42.39228621,yes
530,-71.12547566,42.39257441,yes
531,-71.1253814,42.39257972,yes
532,-71.09298851,42.39247862,yes
533,-71.068987,42.39241138,yes
534,-71.12766115,42.39262692,yes
535,-71.10062515,42.39254598,yes
536,-71.10066127,42.39259339,yes
537,-71.09349448,42.39259806,yes
538,-71.12509314,42.392722,yes
539,-71.08407796,42.39258343,yes
540,-71.12498931,42.39279888,yes
541,-71.08045118,42.39267213,yes
542,-71.15787605,42.39298782,yes
543,-71.12883027,42.39291907,yes
544,-71.08049613,42.39283326,yes
545,-71.11412774,42.39295224,yes
546,-71.1141853,42.39297763,yes
547,-71.09420129,42.39309575,yes
548,-71.13126374,42.393395,yes
549,-71.13142523,42.39340321,yes
550,-71.1340372,42.39355135,yes
551,-71.12077906,42.39363234,yes
552,-71.13601437,42.393689,yes
553,-71.13637881,42.39372035,yes
554,-71.09587276,42.39383936,yes
555,-71.1381351,42.39398104,yes
556,-71.10172392,42.39395273,yes
557,-71.11662047,42.39402961,yes
558,-71.09588809,42.39398068,yes
559,-71.1169676,42.39417904,yes
560,-71.0871899,42.39414108,yes
561,-71.10192545,42.39421741,yes
562,-71.08088364,42.39421453,yes
563,-71.12693153,42.39439623,yes
564,-71.12686763,42.39447366,yes
565,-71.06731528,42.39433894,yes
566,-71.0876593,42.39468471,yes
567,-71.0973767,42.39473855,yes
568,-71.09773196,42.39477304,yes
569,-71.12170441,42.3951165,yes
570,-71.09762696,42.39505589,yes
571,-71.11927528,42.395173,yes
572,-71.06672425,42.39499844,yes
573,-71.15865925,42.39545736,yes
574,-71.15868232,42.39553357,yes
575,-71.08895832,42.39548608,yes
576,-71.1030287,42.3956148,yes
577,-71.09944923,42.39561052,yes
578,-71.12864286,42.39591881,yes
